
2024/07/08 (11:29:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (11:30:58) | ===> btop++ v.1.3.2
2024/07/08 (11:30:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (11:32:19) | ===> btop++ v.1.3.2
2024/07/08 (11:32:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (17:17:17) | ===> btop++ v.1.3.2
2024/07/08 (17:17:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (19:02:17) | ===> btop++ v.1.3.2
2024/07/08 (19:02:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/09 (10:41:07) | ===> btop++ v.1.3.2
2024/07/09 (10:41:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/09 (17:41:57) | ===> btop++ v.1.3.2
2024/07/09 (17:41:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (00:46:06) | ===> btop++ v.1.3.2
2024/07/10 (00:46:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/11 (00:18:26) | ===> btop++ v.1.3.2
2024/07/11 (00:18:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (10:39:25) | ===> btop++ v.1.3.2
2024/07/12 (10:39:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (10:40:19) | ===> btop++ v.1.3.2
2024/07/12 (10:40:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (10:44:50) | ===> btop++ v.1.3.2
2024/07/12 (10:44:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (10:46:16) | ===> btop++ v.1.3.2
2024/07/12 (10:46:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/12 (19:39:53) | ===> btop++ v.1.3.2
2024/07/12 (19:39:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
